==19== NVPROF is profiling process 19, command: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==19== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19== Profiling application: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Profiling result:
==19== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_10elu_kernelERNS_14TensorIteratorEN3c106ScalarES5_S5_ENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","compute_cuda_kernel(long*, long*, long*, long)",9,"dram_read_transactions","Device Memory Read Transactions",557,1521,1175
"GeForce GTX 1080 Ti (0)","compute_cuda_kernel(long*, long*, long*, long)",9,"dram_write_transactions","Device Memory Write Transactions",1802542,1829939,1824930
"GeForce GTX 1080 Ti (0)","compute_cuda_kernel(long*, long*, long*, long)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","compute_cuda_kernel(long*, long*, long*, long)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","compute_cuda_kernel(long*, long*, long*, long)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanInitKernel<cub::ScanTileState<long, bool=1>>(long, int)",9,"dram_read_transactions","Device Memory Read Transactions",32,44,39
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanInitKernel<cub::ScanTileState<long, bool=1>>(long, int)",9,"dram_write_transactions","Device Memory Write Transactions",0,65,32
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanInitKernel<cub::ScanTileState<long, bool=1>>(long, int)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanInitKernel<cub::ScanTileState<long, bool=1>>(long, int)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void cub::DeviceScanInitKernel<cub::ScanTileState<long, bool=1>>(long, int)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)",9,"dram_read_transactions","Device Memory Read Transactions",48,68,57
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)",9,"dram_write_transactions","Device Memory Write Transactions",870952,962886,906808
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::FillFunctor<float>, at::detail::Array<char*, int=1>>(int, float, at::native::FillFunctor<float>)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void _GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)",1,"dram_read_transactions","Device Memory Read Transactions",1400,1400,1400
"GeForce GTX 1080 Ti (0)","void _GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)",1,"dram_write_transactions","Device Memory Write Transactions",5664,5664,5664
"GeForce GTX 1080 Ti (0)","void _GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void _GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)",1,"flop_count_sp","Floating Point Operations(Single Precision)",846096,846096,846096
"GeForce GTX 1080 Ti (0)","void _GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::softmax_warp_forward<float, float, float, int=3, bool=1>(float*, float const *, int, int, int)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)",1,"dram_read_transactions","Device Memory Read Transactions",355,355,355
"GeForce GTX 1080 Ti (0)","void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)",1,"dram_write_transactions","Device Memory Write Transactions",1772,1772,1772
"GeForce GTX 1080 Ti (0)","void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)",1,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)",1,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::reduce_kernel<int=512, int=1, at::native::ReduceOp<float, at::native::MaxOps<float>, unsigned int, float, int=4>>(float)",1,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::CompareGTFunctor<float>)",9,"dram_read_transactions","Device Memory Read Transactions",916713,916741,916725
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::CompareGTFunctor<float>)",9,"dram_write_transactions","Device Memory Write Transactions",206576,332973,250056
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::CompareGTFunctor<float>)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::CompareGTFunctor<float>)",9,"flop_count_sp","Floating Point Operations(Single Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::vectorized_elementwise_kernel<int=4, at::native::BUnaryFunctor<at::native::CompareGTFunctor<float>>, at::detail::Array<char*, int=2>>(int, float, at::native::CompareGTFunctor<float>)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
